wavelen(micron) a(micron) Qabs Qext Qpol
0.125501 0.135324 1.177956 2.349938 0.018163
0.125501 0.143670 1.157404 2.320887 0.016186
0.125501 0.152531 1.137789 2.295400 0.013571
0.125501 0.161939 1.119017 2.273929 0.011030
0.125501 0.171927 1.100925 2.255378 0.009069
0.125501 0.182531 1.083483 2.237838 0.007496
0.125501 0.193788 1.066722 2.220164 0.005875
0.125501 0.205741 1.050806 2.202128 0.004322
0.125501 0.218430 1.035630 2.184347 0.003247
0.125501 0.231902 1.110299 2.359817 0.000000
0.125501 0.246205 1.098216 2.346708 0.000000
0.125501 0.261390 1.086268 2.333654 0.000000
0.125501 0.277512 1.075040 2.321206 0.000000
0.125501 0.294628 1.064209 2.309186 0.000000
0.125501 0.312800 1.053792 2.297664 0.000000
0.125501 0.332093 1.044028 2.286827 0.000000
0.125501 0.352575 1.034419 2.276057 0.000000
0.125501 0.374321 1.025427 2.265876 0.000000
0.125501 0.397408 1.016737 2.255982 0.000000
0.125501 0.421919 1.008396 2.246429 0.000000
0.125501 0.447941 1.000573 2.237387 0.000000
0.125501 0.475569 0.992881 2.228459 0.000000
0.125501 0.504900 0.985692 2.220031 0.000000
0.125501 0.536041 0.978728 2.211816 0.000000
0.125501 0.569102 0.972062 2.203893 0.000000
0.125501 0.604203 0.965804 2.196379 0.000000
0.125501 0.641468 0.959660 2.188969 0.000000
0.125501 0.681032 0.953928 2.181977 0.000000
0.125501 0.723036 0.948361 2.175145 0.000000
0.125501 0.767630 0.943048 2.168569 0.000000
0.125501 0.814976 0.938054 2.162322 0.000000
0.125501 0.865241 0.933160 2.156169 0.000000
0.125501 0.918606 0.928601 2.150368 0.000000
0.125501 0.975263 0.924162 2.144685 0.000000
0.125501 1.035414 0.919940 2.139228 0.000000
0.125501 1.099275 0.915965 2.134035 0.000000
0.125501 1.167075 0.912078 2.128929 0.000000
0.125501 1.239056 0.908464 2.124119 0.000000
0.125501 1.315478 0.904934 2.119394 0.000000
0.125501 1.396612 0.901588 2.114869 0.000000
0.125501 1.482751 0.898434 2.110557 0.000000
0.125501 1.574202 0.895357 2.106322 0.000000
0.125501 1.671294 0.892500 2.102339 0.000000
0.125501 1.774374 0.889703 2.098415 0.000000
0.125501 1.883812 0.887060 2.094668 0.000000
0.125501 2.000000 0.884567 2.091091 0.000000
0.135372 0.001000 0.070070 0.070070 0.000000
0.135372 0.001062 0.074491 0.074492 0.000000
0.135372 0.001127 0.078855 0.078855 0.000000
0.135372 0.001197 0.083631 0.083631 0.000000
0.135372 0.001270 0.088806 0.088806 0.000000
0.135372 0.001349 0.094283 0.094283 0.000000
0.135372 0.001432 0.100098 0.100098 0.000000
0.135372 0.001520 0.106272 0.106272 0.000000
0.135372 0.001614 0.112827 0.112827 0.000000
0.135372 0.001714 0.119786 0.119786 0.000000
0.135372 0.001819 0.127174 0.127174 0.000000
0.135372 0.001932 0.135018 0.135018 0.000000
0.135372 0.002051 0.143345 0.143345 0.000000
0.135372 0.002177 0.152220 0.152220 0.000000
0.135372 0.002311 0.161614 0.161615 0.000000
0.135372 0.002454 0.171583 0.171583 0.000000
0.135372 0.002605 0.182166 0.182166 0.000000
0.135372 0.002766 0.193402 0.193403 0.000000
0.135372 0.002937 0.205330 0.205332 0.000000
0.135372 0.003118 0.217995 0.217997 0.000000
0.135372 0.003310 0.231441 0.231444 0.000000
0.135372 0.003514 0.245717 0.245720 0.000000
0.135372 0.003731 0.260873 0.260877 0.000000
0.135372 0.003961 0.276964 0.276969 0.000000
0.135372 0.004205 0.294048 0.294054 0.000000
0.135372 0.004465 0.312186 0.312194 0.000000
0.135372 0.004740 0.331443 0.331453 0.000000
0.135372 0.005033 0.346873 0.346908 0.016699
0.135372 0.005343 0.323902 0.324187 0.017845
0.135372 0.005673 0.304635 0.305251 0.019085
0.135372 0.006022 0.288739 0.289791 0.020435
0.135372 0.006394 0.275930 0.277553 0.021906
0.135372 0.006788 0.265966 0.268328 0.023517
0.135372 0.007207 0.258638 0.261959 0.025291
0.135372 0.007651 0.253781 0.258343 0.027253
0.135372 0.008123 0.251265 0.257422 0.029441
0.135372 0.008624 0.250994 0.259199 0.031902
0.135372 0.009156 0.252920 0.263757 0.034706
0.135372 0.009721 0.257034 0.271249 0.037952
0.135372 0.010321 0.263403 0.281969 0.041782
0.135372 0.010957 0.272133 0.296327 0.046404
