wavelen(micron) a(micron) Qabs Qext Qpol
0.125501 0.975263 0.617071 2.772867 0.019324
0.125501 1.035414 0.789038 3.232983 0.105792
0.125501 1.099275 0.816050 3.126014 0.093951
0.125501 1.167075 0.849152 3.054277 0.084450
0.125501 1.239056 0.868249 2.826381 0.063223
0.125501 1.315478 0.877869 2.483700 0.033293
0.125501 1.396612 0.884641 2.185698 0.016837
0.125501 1.482751 0.899632 2.188061 0.048889
0.125501 1.574202 0.916497 2.385603 0.117075
0.125501 1.671294 0.929248 2.521047 0.132744
0.125501 1.774374 0.938663 2.660786 0.111237
0.125501 1.883812 0.946047 2.780668 0.073899
0.125501 2.000000 0.954699 2.731340 0.068220
0.135372 0.001000 0.036134 0.041106 0.014937
0.135372 0.001062 0.038374 0.043665 0.015866
0.135372 0.001127 0.040750 0.046363 0.016845
0.135372 0.001197 0.043290 0.049259 0.017902
0.135372 0.001270 0.045983 0.052319 0.019018
0.135372 0.001349 0.048838 0.055575 0.020199
0.135372 0.001432 0.051858 0.059010 0.021455
0.135372 0.001520 0.055119 0.062728 0.022808
0.135372 0.001614 0.058560 0.066637 0.024236
0.135372 0.001714 0.062212 0.070815 0.025757
0.135372 0.001819 0.066108 0.075245 0.027374
0.135372 0.001932 0.070256 0.079982 0.029105
0.135372 0.002051 0.074677 0.085020 0.030949
0.135372 0.002177 0.079396 0.090392 0.032914
0.135372 0.002311 0.084378 0.096126 0.035009
0.135372 0.002454 0.089724 0.102197 0.037251
0.135372 0.002605 0.095461 0.108758 0.039650
0.135372 0.002766 0.101564 0.115758 0.042229
0.135372 0.002937 0.108043 0.123208 0.044958
0.135372 0.003118 0.115016 0.131171 0.047913
0.135372 0.003310 0.122467 0.139771 0.051074
0.135372 0.003514 0.130433 0.148954 0.054465
0.135372 0.003731 0.139000 0.158841 0.058139
0.135372 0.003961 0.148154 0.169521 0.062105
0.135372 0.004205 0.157983 0.181002 0.066381
0.135372 0.004465 0.168570 0.193385 0.070991
0.135372 0.004740 0.180043 0.206798 0.076021
0.135372 0.005033 0.192322 0.221402 0.081492
0.135372 0.005343 0.205616 0.237238 0.087432
